Source,Target,Type,Label,Predicate,Interval
NoclaimsBot,Zhenqinli,Directed,edit,P31,1;2
Zhenqinli,185.197.245.128,Directed,edit,P31,1;2
185.197.245.128,Daniel Mietchen,Directed,edit,P31,1;2
Daniel Mietchen,Zhenqinli,Directed,edit,P31,1;2
Zhenqinli,Dhx1,Directed,edit,P31,1;2
Dhx1,112.119.86.240,Directed,edit,P31,1;2
112.119.86.240,Eulenspiegel1,Directed,edit,P31,1;2
Eulenspiegel1,Zhenqinli,Directed,edit,P31,1;2
Zhenqinli,BohemianRhapsody,Directed,edit,P31,1;2
BohemianRhapsody,168.234.201.162,Directed,edit,P31,1;2
168.234.201.162,Tarnumg,Directed,edit,P31,1;2
Tarnumg,WTM,Directed,edit,P31,1;2
WTM,Bjs,Directed,edit,P31,1;2
Bjs,Jodi.a.schneider,Directed,edit,P31,1;2
Jodi.a.schneider,TiagoLubiana,Directed,edit,P31,1;2
TiagoLubiana,Neo-Jay,Directed,edit,P31,1;2
Neo-Jay,117.211.214.201,Directed,edit,P31,1;2
117.211.214.201,Haansn08,Directed,edit,P31,1;2
Haansn08,2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Directed,edit,P31,1;2
2003:C6:7F17:CF00:C97D:94DA:5C8C:7E7B,Epìdosis,Directed,edit,P31,1;2
Epìdosis,Zhenqinli,Directed,edit,P31,1;2
Zhenqinli,58.182.83.199,Directed,edit,P31,1;2
58.182.83.199,Epìdosis,Directed,edit,P31,1;2
Epìdosis,Sun8908,Directed,edit,P31,1;2
Sun8908,103.136.251.3,Directed,edit,P31,1;2
103.136.251.3,Julián L. Páez,Directed,edit,P31,1;2
Julián L. Páez,90.244.204.15,Directed,edit,P31,1;2
90.244.204.15,Julián L. Páez,Directed,edit,P31,1;2
Julián L. Páez,187.189.148.55,Directed,edit,P31,1;2
187.189.148.55,Bouzinac,Directed,edit,P31,1;2
Bouzinac,213.60.84.17,Directed,edit,P31,1;2
213.60.84.17,Julián L. Páez,Directed,edit,P31,1;2
Julián L. Páez,78.94.13.251,Directed,edit,P31,1;2
78.94.13.251,Sun8908,Directed,edit,P31,1;2
Sun8908,Marchitelli,Directed,edit,P31,1;2
Marchitelli,Lymantria,Directed,edit,P31,1;2
Lymantria,86.164.235.33,Directed,edit,P31,1;2
86.164.235.33,Epìdosis,Directed,edit,P31,1;2
Epìdosis,Mith,Directed,edit,P31,1;2
Mith,ChristianKl,Directed,edit,P31,2;3
ChristianKl,Zhenqinli,Directed,edit,P31,2;3
Zhenqinli,Swpb,Directed,edit,P31,3;4
Neo-Jay,Osteologia,Directed,edit,P580,1;2
Osteologia,U0008355,Directed,edit,P580,1;2
U0008355,Dhx1,Directed,edit,P580,1;2
Dhx1,99.87.202.180,Directed,edit,P580,1;2
99.87.202.180,Tarnumg,Directed,edit,P580,1;2
Tarnumg,Dhx1,Directed,edit,P580,1;2
Dhx1,Sun8908,Directed,edit,P580,1;2
Sun8908,Huntster,Directed,edit,P580,3;4
Neo-Jay,Dhx1,Directed,edit,P17,1;2
Dhx1,200.211.11.2,Directed,edit,P17,1;2
200.211.11.2,Dhx1,Directed,edit,P17,1;2
Dhx1,Adert,Directed,edit,P17,1;2
Adert,Dhx1,Directed,edit,P17,1;2
Dhx1,Adert,Directed,edit,P17,1;2
Adert,Dhx1,Directed,edit,P17,1;2
Dhx1,Adert,Directed,edit,P17,1;2
Adert,Cbliu,Directed,edit,P17,1;2
Cbliu,Salgo60,Directed,edit,P17,1;2
Salgo60,Davidpar,Directed,edit,P17,1;2
Davidpar,Adert,Directed,edit,P17,1;2
Adert,Davidpar,Directed,edit,P17,1;2
Davidpar,Adert,Directed,edit,P17,1;2
Adert,Zzme123,Directed,edit,P17,1;2
Zzme123,Adert,Directed,edit,P17,1;2
Adert,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,JohnShaoWJ,Directed,edit,P17,1;2
JohnShaoWJ,37.163.62.179,Directed,edit,P17,1;2
37.163.62.179,Adert,Directed,edit,P17,1;2
Adert,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,Adert,Directed,edit,P17,1;2
Adert,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,Robins7,Directed,edit,P17,1;2
Robins7,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,Robins7,Directed,edit,P17,1;2
Robins7,168.234.201.162,Directed,edit,P17,1;2
168.234.201.162,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,Fnielsen,Directed,edit,P17,1;2
Fnielsen,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,Sebleouf,Directed,edit,P17,1;2
Sebleouf,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,1857a,Directed,edit,P17,1;2
1857a,ערן,Directed,edit,P17,1;2
ערן,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,Roberpl,Directed,edit,P17,1;2
Roberpl,Neo-Jay,Directed,edit,P17,1;2
Neo-Jay,M2k~dewiki,Directed,edit,P17,1;2
M2k~dewiki,Dhx1,Directed,edit,P17,1;2
Dhx1,JXB-IM,Directed,edit,P17,1;2
JXB-IM,Epìdosis,Directed,edit,P17,1;2
Epìdosis,Sun8908,Directed,edit,P17,1;2
Sun8908,2001:4C4C:1EF5:AB00:F8C1:67A:80C9:5D5C,Directed,edit,P17,1;2
2001:4C4C:1EF5:AB00:F8C1:67A:80C9:5D5C,Epìdosis,Directed,edit,P17,1;2
Epìdosis,Jarould,Directed,edit,P17,2;3
Neo-Jay,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,Jake Park,Directed,edit,P1120,1;2
Jake Park,Efly,Directed,edit,P1120,1;2
Efly,علاء,Directed,edit,P1120,1;2
علاء,2A02:2F09:9219:4100:A873:CD20:2A06:C504,Directed,edit,P1120,1;2
2A02:2F09:9219:4100:A873:CD20:2A06:C504,187.160.250.242,Directed,edit,P1120,1;2
187.160.250.242,Golopența20,Directed,edit,P1120,1;2
Golopența20,Ajimenez07,Directed,edit,P1120,1;2
Ajimenez07,2A02:2F09:9219:4100:81F6:ECF9:20B7:94DB,Directed,edit,P1120,1;2
2A02:2F09:9219:4100:81F6:ECF9:20B7:94DB,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,Jaumellecha,Directed,edit,P1120,1;2
Jaumellecha,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,5.14.98.162,Directed,edit,P1120,1;2
5.14.98.162,Wostr,Directed,edit,P1120,1;2
Wostr,Jeblad,Directed,edit,P1120,1;2
Jeblad,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,212.171.197.101,Directed,edit,P1120,1;2
212.171.197.101,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,Jeblad,Directed,edit,P1120,1;2
Jeblad,187.160.250.242,Directed,edit,P1120,1;2
187.160.250.242,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,193.151.31.248,Directed,edit,P1120,1;2
193.151.31.248,Succu,Directed,edit,P1120,1;2
Succu,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,Jeblad,Directed,edit,P1120,1;2
Jeblad,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,185.197.245.128,Directed,edit,P1120,1;2
185.197.245.128,Nvrandow,Directed,edit,P1120,1;2
Nvrandow,Venca24,Directed,edit,P1120,1;2
Venca24,Jeblad,Directed,edit,P1120,1;2
Jeblad,Dhx1,Directed,edit,P1120,1;2
Dhx1,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,KlaudiuMihaila,Directed,edit,P1120,1;2
KlaudiuMihaila,Dhx1,Directed,edit,P1120,1;2
Dhx1,Zhenqinli,Directed,edit,P1120,1;2
Zhenqinli,80.22.92.116,Directed,edit,P1120,1;2
80.22.92.116,Dhx1,Directed,edit,P1120,1;2
Dhx1,Zhenqinli,Directed,edit,P1120,1;2
